"geography","year","Fourth","Highest","Lowest","Second","Third","Top 5%"
"Bucks",2006,128139,254654,21568,54296,87063,425661
"Bucks",2007,125059,251606,22900,54449,85041,440227
"Bucks",2008,128253,253245,24292,56009,88221,414498
"Bucks",2009,126972,262653,23579,55039,87666,459506
"Bucks",2010,119701,244960,20911,49441,79377,421897
"Bucks",2011,118402,241396,20479,49383,77924,406846
"Bucks",2012,120981,240852,20225,50300,80944,399656
"Bucks",2013,118595,255010,20160,47549,77961,447460
"Bucks",2014,125406,259325,20184,50082,81245,449253
"Bucks",2015,129524,272680,20690,51117,83905,472361
"Bucks",2016,123746,270052,19998,51288,81820,483251
"Bucks",2017,132129,274229,19822,51508,85242,458107
"Burlington",2006,118882,214721,23196,53252,82551,333423
"Burlington",2007,125738,241505,24912,56768,88289,400239
"Burlington",2008,127249,237679,22408,56171,89148,388919
"Burlington",2009,122539,236230,22731,55594,85691,392505
"Burlington",2010,124913,247158,23403,53664,83345,410377
"Burlington",2011,121551,234176,22202,50840,81058,382659
"Burlington",2012,117932,245151,20526,49896,79784,423995
"Burlington",2013,118725,231541,23083,54532,81765,373454
"Burlington",2014,124212,242495,20075,50426,83997,400735
"Burlington",2015,117011,236373,19576,47917,77347,395428
"Burlington",2016,124423,258886,22304,52590,82039,440209
"Burlington",2017,126836,253914,22105,54629,87118,425888
"Camden",2006,104511,208244,15982,42867,70115,342698
"Camden",2007,105723,195956,16167,42923,70611,304686
"Camden",2008,109198,211431,15263,42094,70858,356148
"Camden",2009,108034,219470,14935,41258,70702,382775
"Camden",2010,99942,201414,13984,37489,65025,339849
"Camden",2011,101166,197104,13263,37730,64400,322089
"Camden",2012,99692,209534,12758,36027,63721,363330
"Camden",2013,98404,200898,11675,34481,62099,340552
"Camden",2014,103378,211039,12477,36107,64570,353463
"Camden",2015,107456,211928,12794,38313,67246,349955
"Camden",2016,106828,225465,13554,38662,68488,379522
"Camden",2017,104903,221538,12986,37091,66130,371036
"Chester",2006,144572,298763,22267,59543,95268,492210
"Chester",2007,145728,325646,25561,63119,99824,598119
"Chester",2008,144945,313897,25898,62717,98812,547203
"Chester",2009,143313,317660,22807,56633,94135,570744
"Chester",2010,138171,289294,23563,58122,94518,504652
"Chester",2011,133546,273023,21562,53580,86660,442555
"Chester",2012,134952,284637,20522,54200,89061,488149
"Chester",2013,137328,291278,21689,53678,88957,498319
"Chester",2014,138579,295317,21461,53062,89056,504740
"Chester",2015,144306,305008,24276,56433,94011,515638
"Chester",2016,143961,327877,21275,55909,94705,601173
"Chester",2017,144689,315601,22640,59766,97314,567035
"Delaware",2006,107192,226048,16493,41639,67887,388928
"Delaware",2007,109952,242100,16474,43606,71849,433323
"Delaware",2008,115114,256264,17855,46033,74603,468582
"Delaware",2009,110924,235758,16340,42124,72315,411850
"Delaware",2010,104832,218382,16517,39963,66418,363379
"Delaware",2011,106939,236686,16406,39783,66329,408476
"Delaware",2012,106055,232031,14469,37733,65895,414017
"Delaware",2013,108331,246473,14876,39539,68266,453419
"Delaware",2014,103602,241473,14672,38977,65751,449916
"Delaware",2015,112314,246056,16677,42749,71202,436099
"Delaware",2016,114029,251101,15402,40669,70124,442699
"Delaware",2017,117183,274022,15578,43257,74132,509158
"Gloucester",2006,120087,211038,19672,51150,81232,315174
"Gloucester",2007,119415,207962,20004,52933,85042,303750
"Gloucester",2008,118241,206832,20670,52629,81466,305152
"Gloucester",2009,117713,203867,20338,52264,81031,311899
"Gloucester",2010,112493,211531,17964,49044,78341,315065
"Gloucester",2011,119398,213313,20580,49357,80217,327480
"Gloucester",2012,117447,207328,18879,49969,78951,312849
"Gloucester",2013,114525,205848,18564,46217,75733,315169
"Gloucester",2014,120293,220807,17693,49445,82483,349785
"Gloucester",2015,117564,225617,18728,48062,80483,359939
"Gloucester",2016,121466,217336,18892,49066,81880,326056
"Gloucester",2017,122938,228024,20939,51732,86185,357446
"Mercer",2006,125512,292121,17756,47871,80295,564118
"Mercer",2007,132770,286903,18689,50152,84278,488706
"Mercer",2008,133396,293463,17605,49814,84731,521550
"Mercer",2009,128287,298301,16519,48198,82920,542949
"Mercer",2010,125302,269625,16965,45366,79463,466891
"Mercer",2011,126036,281329,15490,46936,81243,493235
"Mercer",2012,119948,281436,15116,42959,74394,516747
"Mercer",2013,119000,271603,14798,43545,74814,469448
"Mercer",2014,124520,284809,14624,44215,77702,500233
"Mercer",2015,123384,276883,15667,43372,76332,477699
"Mercer",2016,127468,303814,14887,45742,80156,553850
"Mercer",2017,129100,315996,14768,44673,78824,571299
"Montgomery",2006,129188,279124,22299,54888,87459,498576
"Montgomery",2007,132498,308957,22522,54759,88630,585355
"Montgomery",2008,133086,290978,21659,54692,89895,531918
"Montgomery",2009,128431,289420,22278,54796,86635,524445
"Montgomery",2010,127004,272865,21862,52277,84327,482522
"Montgomery",2011,127096,275560,19782,51343,84275,491391
"Montgomery",2012,124423,275871,19684,50346,82502,489058
"Montgomery",2013,126012,289330,18880,48626,81431,532781
"Montgomery",2014,125613,274825,20158,49893,82430,489359
"Montgomery",2015,130684,299060,20518,52484,86552,546789
"Montgomery",2016,130607,291896,20986,52152,86673,525501
"Montgomery",2017,137152,312190,21272,54413,88443,570090
"NJ Suburban Counties",2006,116005,229601,19039,48343,77832,385643
"NJ Suburban Counties",2007,119831,231332,19843,50175,81169,372733
"NJ Suburban Counties",2008,121253,236378,18726,49597,80925,393457
"NJ Suburban Counties",2009,118338,239112,18407,48744,79439,408977
"NJ Suburban Counties",2010,114860,231377,17984,45825,75757,383803
"NJ Suburban Counties",2011,115721,229389,17557,45534,75669,378674
"NJ Suburban Counties",2012,112531,235365,16546,43946,73329,406014
"NJ Suburban Counties",2013,111622,226410,16784,44210,72893,374541
"NJ Suburban Counties",2014,117021,238390,16009,44320,76169,399494
"NJ Suburban Counties",2015,115562,236016,16396,43882,74500,393567
"NJ Suburban Counties",2016,119055,251167,17243,46011,77320,426549
"NJ Suburban Counties",2017,119769,253400,17341,46307,78448,429871
"PA Suburban Counties",2006,126945,264643,20781,52635,84437,453654
"PA Suburban Counties",2007,128115,282472,21849,53811,86133,516356
"PA Suburban Counties",2008,130172,278130,22319,54679,87799,490792
"PA Suburban Counties",2009,127109,276191,21371,52361,85173,491838
"PA Suburban Counties",2010,122423,256887,20762,49968,81101,444909
"PA Suburban Counties",2011,121693,257743,19560,48709,79136,441682
"PA Suburban Counties",2012,121574,259046,18820,48287,79717,449658
"PA Suburban Counties",2013,122499,271563,18873,47348,79145,486720
"PA Suburban Counties",2014,123282,267688,19204,48146,79757,473699
"PA Suburban Counties",2015,129078,281894,20471,50778,83992,497240
"PA Suburban Counties",2016,127940,284740,19555,50146,83423,512033
"PA Suburban Counties",2017,133008,295000,19926,52307,86282,528190
"Philadelphia",2006,67766,144887,7030,21841,40801,239006
"Philadelphia",2007,70373,156667,8308,23625,42592,277796
"Philadelphia",2008,69334,148585,7754,22762,42737,250579
"Philadelphia",2009,70607,160600,7320,22887,42827,285354
"Philadelphia",2010,64980,145803,6379,20459,38667,250861
"Philadelphia",2011,64955,147967,6933,20413,38037,257204
"Philadelphia",2012,64827,153130,7095,21058,38273,275197
"Philadelphia",2013,64715,156218,6862,21161,39011,284246
"Philadelphia",2014,66498,161154,7288,22118,40402,294569
"Philadelphia",2015,71802,164909,7656,23201,42937,287388
"Philadelphia",2016,72474,167639,6326,22820,42635,291452
"Philadelphia",2017,70834,174992,3172,18477,39816,319385
"Region",2006,108153,222822,16650,43268,71010,377166
"Region",2007,110467,234322,17692,44788,73201,411380
"Region",2008,111568,231840,17438,44801,73941,399115
"Region",2009,109065,233773,16659,43224,71891,411284
"Region",2010,104662,219414,16061,40770,68051,374696
"Region",2011,104552,219765,15552,40104,66966,373459
"Region",2012,103508,223381,14971,39618,66585,389586
"Region",2013,103615,227175,14997,39302,66401,399401
"Region",2014,105964,230200,15034,39936,67968,403567
"Region",2015,109538,236795,15801,41260,70042,410268
"Region",2016,110211,243106,15272,41480,70508,427296
"Region",2017,112154,250205,14585,41300,71280,442909
