"Bucks_Lowest","Burlington_Lowest","Camden_Lowest","Chester_Lowest","Delaware_Lowest","Gloucester_Lowest","Mercer_Lowest","Montgomery_Lowest","NJ Suburban Counties_Lowest","PA Suburban Counties_Lowest","Philadelphia_Lowest","Region_Lowest","year","Bucks_Second","Burlington_Second","Camden_Second","Chester_Second","Delaware_Second","Gloucester_Second","Mercer_Second","Montgomery_Second","NJ Suburban Counties_Second","PA Suburban Counties_Second","Philadelphia_Second","Region_Second","Bucks_Third","Burlington_Third","Camden_Third","Chester_Third","Delaware_Third","Gloucester_Third","Mercer_Third","Montgomery_Third","NJ Suburban Counties_Third","PA Suburban Counties_Third","Philadelphia_Third","Region_Third","Bucks_Fourth","Burlington_Fourth","Camden_Fourth","Chester_Fourth","Delaware_Fourth","Gloucester_Fourth","Mercer_Fourth","Montgomery_Fourth","NJ Suburban Counties_Fourth","PA Suburban Counties_Fourth","Philadelphia_Fourth","Region_Fourth","Bucks_Highest","Burlington_Highest","Camden_Highest","Chester_Highest","Delaware_Highest","Gloucester_Highest","Mercer_Highest","Montgomery_Highest","NJ Suburban Counties_Highest","PA Suburban Counties_Highest","Philadelphia_Highest","Region_Highest","Bucks_Top 5%","Burlington_Top 5%","Camden_Top 5%","Chester_Top 5%","Delaware_Top 5%","Gloucester_Top 5%","Mercer_Top 5%","Montgomery_Top 5%","NJ Suburban Counties_Top 5%","PA Suburban Counties_Top 5%","Philadelphia_Top 5%","Region_Top 5%"
21568,23196,15982,22267,16493,19672,17756,22299,19039,20781,7030,16650,2006,54296,53252,42867,59543,41639,51150,47871,54888,48343,52635,21841,43268,87063,82551,70115,95268,67887,81232,80295,87459,77832,84437,40801,71010,128139,118882,104511,144572,107192,120087,125512,129188,116005,126945,67766,108153,254654,214721,208244,298763,226048,211038,292121,279124,229601,264643,144887,222822,425661,333423,342698,492210,388928,315174,564118,498576,385643,453654,239006,377166
22900,24912,16167,25561,16474,20004,18689,22522,19843,21849,8308,17692,2007,54449,56768,42923,63119,43606,52933,50152,54759,50175,53811,23625,44788,85041,88289,70611,99824,71849,85042,84278,88630,81169,86133,42592,73201,125059,125738,105723,145728,109952,119415,132770,132498,119831,128115,70373,110467,251606,241505,195956,325646,242100,207962,286903,308957,231332,282472,156667,234322,440227,400239,304686,598119,433323,303750,488706,585355,372733,516356,277796,411380
24292,22408,15263,25898,17855,20670,17605,21659,18726,22319,7754,17438,2008,56009,56171,42094,62717,46033,52629,49814,54692,49597,54679,22762,44801,88221,89148,70858,98812,74603,81466,84731,89895,80925,87799,42737,73941,128253,127249,109198,144945,115114,118241,133396,133086,121253,130172,69334,111568,253245,237679,211431,313897,256264,206832,293463,290978,236378,278130,148585,231840,414498,388919,356148,547203,468582,305152,521550,531918,393457,490792,250579,399115
23579,22731,14935,22807,16340,20338,16519,22278,18407,21371,7320,16659,2009,55039,55594,41258,56633,42124,52264,48198,54796,48744,52361,22887,43224,87666,85691,70702,94135,72315,81031,82920,86635,79439,85173,42827,71891,126972,122539,108034,143313,110924,117713,128287,128431,118338,127109,70607,109065,262653,236230,219470,317660,235758,203867,298301,289420,239112,276191,160600,233773,459506,392505,382775,570744,411850,311899,542949,524445,408977,491838,285354,411284
20911,23403,13984,23563,16517,17964,16965,21862,17984,20762,6379,16061,2010,49441,53664,37489,58122,39963,49044,45366,52277,45825,49968,20459,40770,79377,83345,65025,94518,66418,78341,79463,84327,75757,81101,38667,68051,119701,124913,99942,138171,104832,112493,125302,127004,114860,122423,64980,104662,244960,247158,201414,289294,218382,211531,269625,272865,231377,256887,145803,219414,421897,410377,339849,504652,363379,315065,466891,482522,383803,444909,250861,374696
20479,22202,13263,21562,16406,20580,15490,19782,17557,19560,6933,15552,2011,49383,50840,37730,53580,39783,49357,46936,51343,45534,48709,20413,40104,77924,81058,64400,86660,66329,80217,81243,84275,75669,79136,38037,66966,118402,121551,101166,133546,106939,119398,126036,127096,115721,121693,64955,104552,241396,234176,197104,273023,236686,213313,281329,275560,229389,257743,147967,219765,406846,382659,322089,442555,408476,327480,493235,491391,378674,441682,257204,373459
20225,20526,12758,20522,14469,18879,15116,19684,16546,18820,7095,14971,2012,50300,49896,36027,54200,37733,49969,42959,50346,43946,48287,21058,39618,80944,79784,63721,89061,65895,78951,74394,82502,73329,79717,38273,66585,120981,117932,99692,134952,106055,117447,119948,124423,112531,121574,64827,103508,240852,245151,209534,284637,232031,207328,281436,275871,235365,259046,153130,223381,399656,423995,363330,488149,414017,312849,516747,489058,406014,449658,275197,389586
20160,23083,11675,21689,14876,18564,14798,18880,16784,18873,6862,14997,2013,47549,54532,34481,53678,39539,46217,43545,48626,44210,47348,21161,39302,77961,81765,62099,88957,68266,75733,74814,81431,72893,79145,39011,66401,118595,118725,98404,137328,108331,114525,119000,126012,111622,122499,64715,103615,255010,231541,200898,291278,246473,205848,271603,289330,226410,271563,156218,227175,447460,373454,340552,498319,453419,315169,469448,532781,374541,486720,284246,399401
20184,20075,12477,21461,14672,17693,14624,20158,16009,19204,7288,15034,2014,50082,50426,36107,53062,38977,49445,44215,49893,44320,48146,22118,39936,81245,83997,64570,89056,65751,82483,77702,82430,76169,79757,40402,67968,125406,124212,103378,138579,103602,120293,124520,125613,117021,123282,66498,105964,259325,242495,211039,295317,241473,220807,284809,274825,238390,267688,161154,230200,449253,400735,353463,504740,449916,349785,500233,489359,399494,473699,294569,403567
20690,19576,12794,24276,16677,18728,15667,20518,16396,20471,7656,15801,2015,51117,47917,38313,56433,42749,48062,43372,52484,43882,50778,23201,41260,83905,77347,67246,94011,71202,80483,76332,86552,74500,83992,42937,70042,129524,117011,107456,144306,112314,117564,123384,130684,115562,129078,71802,109538,272680,236373,211928,305008,246056,225617,276883,299060,236016,281894,164909,236795,472361,395428,349955,515638,436099,359939,477699,546789,393567,497240,287388,410268
19998,22304,13554,21275,15402,18892,14887,20986,17243,19555,6326,15272,2016,51288,52590,38662,55909,40669,49066,45742,52152,46011,50146,22820,41480,81820,82039,68488,94705,70124,81880,80156,86673,77320,83423,42635,70508,123746,124423,106828,143961,114029,121466,127468,130607,119055,127940,72474,110211,270052,258886,225465,327877,251101,217336,303814,291896,251167,284740,167639,243106,483251,440209,379522,601173,442699,326056,553850,525501,426549,512033,291452,427296
19822,22105,12986,22640,15578,20939,14768,21272,17341,19926,3172,14585,2017,51508,54629,37091,59766,43257,51732,44673,54413,46307,52307,18477,41300,85242,87118,66130,97314,74132,86185,78824,88443,78448,86282,39816,71280,132129,126836,104903,144689,117183,122938,129100,137152,119769,133008,70834,112154,274229,253914,221538,315601,274022,228024,315996,312190,253400,295000,174992,250205,458107,425888,371036,567035,509158,357446,571299,570090,429871,528190,319385,442909
